A	B	transcriptA99865		gene_fusion	0	geneA14875	geneB32397;geneB32396;geneB32395	;category:m;
A	B	transcriptA78507		gene_fusion	0	geneA14875	geneB32397;geneB32396;geneB32395	;category:j;
A	B	transcriptA7588		gene_fusion	0	geneA14875	geneB32397;geneB32396;geneB32395	;category:m;
A	B	transcriptA91831		gene_fusion	0	geneA14875	geneB32397;geneB32396;geneB32395	;category:n;
A	B	transcriptA120455		gene_fusion	0	geneA14875	geneB32397;geneB32396;geneB32395	;category:n;
A	B	transcriptA136206		gene_fusion	0	geneA14875	geneB32397;geneB32396;geneB32395	;category:n;
A	B	transcriptA125712		gene_fusion	0	geneA14875	geneB32397;geneB32396;geneB32395	;category:m;
A	B	transcriptA74121		gene_fusion	0	geneA14875	geneB32397;geneB32396;geneB32395	;category:m;
A	B	transcriptA107322		absent_transcript	0	geneA14875	geneB32395	;category:m;
A	B	transcriptA106496		absent_transcript	0	geneA14875	geneB32395	;category:n;
A	B	transcriptA29832		absent_transcript	0	geneA14875	geneB32395	;category:n;
A	B	transcriptA74008		absent_transcript	0	geneA14875	geneB32395	;category:n;
A	B	transcriptA134800		absent_transcript	0	geneA14875	geneB32395	;category:m;
A	B	transcriptA52049	transcriptB32395	unique_transcript	0	geneA14875	geneB32395	;category:c;
A	B	transcriptA35846	transcriptB32445	unique_transcript	0	geneA14953	geneB32445	;category:k;
A	B	transcriptA52465		absent_transcript	0	geneA14953	geneB32445	;category:m;
A	B	transcriptA15961		absent_transcript	0	geneA14953	geneB32445	;category:j;
A	B	transcriptA24994		absent_transcript	0	geneA15082	geneB32576	;category:o;
A	B	transcriptA27497		absent_transcript	0	geneA17350	geneB1789	;category:j;
A	B	transcriptA55881		absent_transcript	0	geneA17350	geneB1789	;category:j;
A	B	transcriptA95178		absent_transcript	0	geneA17350	geneB1789	;category:j;
A	B	transcriptA98528		absent_transcript	0	geneA17350	geneB1789	;category:j;
A	B	transcriptA8097		absent_transcript	0	geneA17350	geneB1789	;category:j;
A	B	transcriptA68552		absent_transcript	0	geneA17350	geneB1789	;category:j;
A	B	transcriptA35057		absent_transcript	0	geneA16485	geneB1016	;category:j;
A	B	transcriptA36322		absent_transcript	0	geneA16485	geneB1016	;category:j;
A	B	transcriptA20013		absent_transcript	0	geneA16485	geneB1016	;category:j;
A	B	transcriptA103216		absent_transcript	0	geneA16485	geneB1016	;category:j;
A	B	transcriptA50988		absent_transcript	0	geneA16485	geneB1016	;category:j;
A	B	transcriptA112904		absent_transcript	0	geneA16485	geneB1016	;category:m;
A	B	transcriptA93467		absent_transcript	0	geneA16485	geneB1016	;category:m;
A	B	transcriptA79549		absent_transcript	0	geneA16485	geneB1016	;category:j;
A	B	transcriptA3345		absent_transcript	0	geneA16485	geneB1016	;category:m;
A	B	transcriptA95239		absent_transcript	0	geneA16485	geneB1016	;category:j;
A	B	transcriptA115552		absent_transcript	0	geneA16485	geneB1016	;category:j;
A	B	transcriptA119		absent_transcript	0	geneA16485	geneB1016	;category:j;
A	B	transcriptA50713		absent_transcript	0	geneA16485	geneB1016	;category:n;
A	B	transcriptA79020	transcriptB12236	unique_transcript	0	geneA20281	geneB12236	;category:=;
A	B	transcriptA19706		absent_gene	0	geneA20284		;category:u;
A	B	transcriptA94488	transcriptB12250	unique_transcript	0	geneA20283	geneB12250	;category:c;
A	B	transcriptA98955	transcriptB12250	unique_transcript	0	geneA20285	geneB12250	;category:=;
A	B	transcriptA33845		absent_transcript	0	geneA20286	geneB12255	;category:e;
A	B	transcriptA108979		absent_gene	0	geneA20291		;category:u;
A	B	transcriptA2892	transcriptB12251	unique_transcript	0	geneA20292	geneB12251	;category:k;
A	B	transcriptA74373		absent_transcript	0	geneA29403	geneB13802	;category:j;
A	B	transcriptA116984		absent_gene	0	geneA20282		;category:x;
A	B	transcriptA88332		absent_transcript	0	geneA20297	geneB12272	;category:j;
A	B	transcriptA40364		absent_transcript	0	geneA20297	geneB12272	;category:j;
A	B	transcriptA127232		absent_transcript	0	geneA20297	geneB12272	;category:j;
A	B	transcriptA74094		absent_transcript	0	geneA20297	geneB12272	;category:j;
A	B	transcriptA68356		gene_fusion	0	geneA20676	geneB12584;geneB12583	;category:j;
A	B	transcriptA114634		gene_fusion	0	geneA20676	geneB12584;geneB12583	;category:j;
A	B	transcriptA121886		gene_fusion	0	geneA20676	geneB12584;geneB12583	;category:j;
A	B	transcriptA130975		gene_fusion	0	geneA20676	geneB12584;geneB12583	;category:j;
A	B	transcriptA15794		gene_fusion	0	geneA20676	geneB12584;geneB12583	;category:j;
A	B	transcriptA22405		gene_fusion	0	geneA20676	geneB12584;geneB12583	;category:j;
A	B	transcriptA52839		gene_fusion	0	geneA20676	geneB12584;geneB12583	;category:k;
A	B	transcriptA99934		gene_fusion	0	geneA20676	geneB12584;geneB12583	;category:j;
A	B	transcriptA10127		gene_fusion	0	geneA20676	geneB12584;geneB12583	;category:j;
A	B	transcriptA122867		gene_fusion	0	geneA20676	geneB12584;geneB12583	;category:j;
A	B	transcriptA12911		gene_fusion	0	geneA20676	geneB12584;geneB12583	;category:j;
A	B	transcriptA47734		gene_fusion	0	geneA20676	geneB12584;geneB12583	;category:j;
A	B	transcriptA94296		gene_fusion	0	geneA20676	geneB12584;geneB12583	;category:j;
A	B	transcriptA29625		gene_fusion	0	geneA20676	geneB12584;geneB12583	;category:k;
A	B	transcriptA40327		gene_fusion	0	geneA20676	geneB12584;geneB12583	;category:k;
A	B	transcriptA31735		gene_fusion	0	geneA20676	geneB12584;geneB12583	;category:j;
A	B	transcriptA11760		absent_transcript	0	geneA20676	geneB12584	;category:m;
A	B	transcriptA24361		absent_transcript	0	geneA20676	geneB12584	;category:m;
A	B	transcriptA86416		absent_transcript	0	geneA20676	geneB12584	;category:m;
A	B	transcriptA128670		gene_fusion	0	geneA20676	geneB12584;geneB12583	;category:j;
A	B	transcriptA107885		gene_fusion	0	geneA20676	geneB12584;geneB12583	;category:j;
A	B	transcriptA67072		gene_fusion	0	geneA20676	geneB12584;geneB12583	;category:n;
A	B	transcriptA87993		gene_fusion	0	geneA20676	geneB12584;geneB12583	;category:j;
A	B	transcriptA69260		gene_fusion	0	geneA20676	geneB12584;geneB12583	;category:j;
A	B	transcriptA89414		gene_fusion	0	geneA20676	geneB12584;geneB12583	;category:j;
A	B	transcriptA102885		gene_fusion	0	geneA20676	geneB12584;geneB12583	;category:j;
A	B	transcriptA62780		gene_fusion	0	geneA20676	geneB12584;geneB12583	;category:k;
A	B	transcriptA14089		gene_fusion	0	geneA20676	geneB12584;geneB12583	;category:k;
A	B	transcriptA87244		gene_fusion	0	geneA20676	geneB12584;geneB12583	;category:n;
A	B	transcriptA37445		absent_transcript	0	geneA20676	geneB12583	;category:j;
A	B	transcriptA92985		absent_transcript	0	geneA20676	geneB12583	;category:j;
A	B	transcriptA111724		absent_transcript	0	geneA26673	geneB34605	;category:j;
A	B	transcriptA95402	transcriptB33275	unique_transcript	0	transcriptA95402	geneB33275	;category:c;
A	B	transcriptA89267		absent_transcript	0	geneA25622	geneB33667	;category:n;
A	B	transcriptA29207		absent_transcript	0	geneA25622	geneB33667	;category:n;
A	B	transcriptA23854		absent_transcript	0	geneA25622	geneB33667	;category:j;
A	B	transcriptA124796		absent_transcript	0	geneA25622	geneB33667	;category:j;
A	B	transcriptA39750		absent_transcript	0	geneA25622	geneB33667	;category:j;
A	B	transcriptA80104		absent_transcript	0	geneA25622	geneB33667	;category:j;
A	B	transcriptA110365		absent_transcript	0	geneA25622	geneB33667	;category:j;
A	B	transcriptA44626		absent_transcript	0	geneA25622	geneB33667	;category:j;
A	B	transcriptA5975	transcriptB25963	unique_transcript	0	geneA30972	geneB25963	;category:=;
A	B	transcriptA100848	transcriptB27104	unique_transcript	0	geneA32231	geneB27104	;category:=;
A	B	transcriptA13117	transcriptB27104	unique_transcript	0	geneA32231	geneB27104	;category:k;
A	B	transcriptA63360	transcriptB27104	unique_transcript	0	geneA32231	geneB27104	;category:k;
A	B	transcriptA55666		absent_transcript	0	geneA32231	geneB27104	;category:n;
A	B	transcriptA5396		absent_transcript	0	geneA32231	geneB27104	;category:m;
A	B	transcriptA122304		absent_transcript	0	geneA32231	geneB27104	;category:j;
A	B	transcriptA38435	transcriptB27104	unique_transcript	0	geneA32231	geneB27104	;category:k;
A	B	transcriptA96038	transcriptB27104	unique_transcript	0	geneA32231	geneB27104	;category:=;
A	B	transcriptA49997	transcriptB27104	unique_transcript	0	geneA32231	geneB27104	;category:c;
A	B	transcriptA3945		gene_fusion	0	geneA35467	geneB6336;geneB6337	;category:j;
A	B	transcriptA119851		gene_fusion	0	geneA35467	geneB6336;geneB6337	;category:j;
A	B	transcriptA66850		absent_transcript	0	geneA37836	geneB9181	;category:j;
A	B	transcriptA42989		absent_transcript	0	geneA37836	geneB9181	;category:j;
A	B	transcriptA19780		absent_transcript	0	geneA39694	geneB10836	;category:j;
A	B	transcriptA39001		absent_transcript	0	geneA39694	geneB10836	;category:j;
A	B	transcriptA115649		absent_transcript	0	geneA39694	geneB10836	;category:j;
A	B	transcriptA10934		absent_transcript	0	geneA39694	geneB10836	;category:j;
A	B	transcriptA76633		absent_transcript	0	geneA39694	geneB10836	;category:j;
A	B	transcriptA119635		absent_transcript	0	geneA39694	geneB10836	;category:j;
A	B	transcriptA110909		absent_transcript	0	geneA39694	geneB10836	;category:j;
A	B	transcriptA110920		absent_transcript	0	geneA39694	geneB10836	;category:n;
A	B	transcriptA131496		absent_transcript	0	geneA39694	geneB10836	;category:j;
A	B	transcriptA8945		absent_transcript	0	geneA39694	geneB10836	;category:n;
A	B	transcriptA67216		absent_transcript	0	geneA39694	geneB10836	;category:j;
A	B	transcriptA68263		absent_transcript	0	geneA39694	geneB10836	;category:n;
A	B	transcriptA56598		absent_transcript	0	geneA39694	geneB10836	;category:n;
A	B	transcriptA78532		absent_transcript	0	geneA39694	geneB10836	;category:n;
A	B	transcriptA132727		absent_transcript	0	transcriptA132727	geneB10836	;category:o;
A	B	transcriptA14826		absent_transcript	0	geneA39697	geneB10836	;category:j;
A	B	transcriptA125763		absent_transcript	0	geneA39697	geneB10836	;category:j;
A	B	transcriptA94721		absent_transcript	0	geneA39697	geneB10836	;category:n;
A	B	transcriptA67772		absent_transcript	0	geneA39697	geneB10836	;category:n;
A	B	transcriptA129999		absent_transcript	0	geneA39697	geneB10836	;category:n;
A	B	transcriptA14534		absent_transcript	0	geneA39697	geneB10836	;category:n;
A	B	transcriptA115025	transcriptB37956	unique_transcript	0	geneA41459	geneB37956	;category:=;
A	B	transcriptA28132		absent_transcript	0	geneA41459	geneB37956	;category:j;
A	B	transcriptA69627		absent_transcript	0	geneA42124	geneB38638	;category:j;
A	B	transcriptA117744		absent_transcript	0	geneA42124	geneB38638	;category:j;
A	B	transcriptA100337		absent_transcript	0	geneA42124	geneB38638	;category:j;
B	A	transcriptB20099		absent_gene	0	geneB20099		;category:u;
B	A	transcriptB19015		absent_transcript	0	geneB19015	geneA376	;category:o;
B	A	transcriptB19992		absent_transcript	0	geneB19992	geneA1479	;category:j;
B	A	transcriptB20346		absent_transcript	0	geneB20346	geneA1910	;category:j;
B	A	transcriptB20398		absent_transcript	0	geneB20398	geneA1958	;category:j;
B	A	transcriptB20397	transcriptA116205	unique_transcript	0	geneB20397	geneA1958	;category:c;
B	A	transcriptB21146		absent_transcript	0	geneB21146	geneA2792	;category:e;
B	A	transcriptB21769		absent_transcript	0	geneB21769	geneA3421	;category:j;
B	A	transcriptB21774	transcriptA45689	unique_transcript	0	geneB21774	geneA3433	;category:=;
B	A	transcriptB22040	transcriptA80928	unique_transcript	0	geneB22040	geneA3700	;category:=;
B	A	transcriptB22909		absent_transcript	0	geneB22909	geneA4713	;category:j;
B	A	transcriptB24592		absent_transcript	0	geneB24592	geneA6621	;category:n;
B	A	transcriptB24517		absent_transcript	0	geneB24517	geneA6621	;category:j;
B	A	transcriptB20365	transcriptA128220	unique_transcript	0	geneB20367	geneA1914	;category:c;
B	A	transcriptB22128		absent_transcript	0	geneB22128	geneA3662	;category:j;
B	A	transcriptB22398	transcriptA114158	unique_transcript	0	geneB22398	geneA4128	;category:=;
B	A	transcriptB22860		absent_transcript	0	geneB22860	geneA4704	;category:j;
B	A	transcriptB23174		absent_transcript	0	geneB23174	geneA5016	;category:n;
B	A	transcriptB17369	transcriptA100998	unique_transcript	0	geneB17369	geneA8280	;category:=;
