A	B	transcriptA98528		absent_transcript	0	geneA17350	geneB1789	
A	B	transcriptA8097		absent_transcript	0	geneA17350	geneB1789	
A	B	transcriptA68552		absent_transcript	0	geneA17350	geneB1789	
A	B	transcriptA35057		absent_transcript	0	geneA16485	geneB1016	
A	B	transcriptA36322		absent_transcript	0	geneA16485	geneB1016	
A	B	transcriptA20013		absent_transcript	0	geneA16485	geneB1016	
A	B	transcriptA103216		absent_transcript	0	geneA16485	geneB1016	
A	B	transcriptA50988		absent_transcript	0	geneA16485	geneB1016	
A	B	transcriptA112904		absent_transcript	0	geneA16485	geneB1016	
A	B	transcriptA93467		absent_transcript	0	geneA16485	geneB1016	
A	B	transcriptA79549		absent_transcript	0	geneA16485	geneB1016	
A	B	transcriptA3345		absent_transcript	0	geneA16485	geneB1016	
A	B	transcriptA95239		absent_transcript	0	geneA16485	geneB1016	
A	B	transcriptA115552		absent_transcript	0	geneA16485	geneB1016	
A	B	transcriptA119		absent_transcript	0	geneA16485	geneB1016	
A	B	transcriptA50713		absent_transcript	0	geneA16485	geneB1016	
A	B	transcriptA79020	transcriptB12236	unique_transcript	0	geneA20281	geneB12236	
A	B	transcriptA19706		absent_gene	0	geneA20284		
A	B	transcriptA94488	transcriptB12250	unique_transcript	0	geneA20283	geneB12250	
A	B	transcriptA98955	transcriptB12250	unique_transcript	0	geneA20285	geneB12250	
A	B	transcriptA33845		absent_transcript	0	geneA20286	geneB12255	
A	B	transcriptA108979		absent_gene	0	geneA20291		
A	B	transcriptA2892	transcriptB12251	unique_transcript	0	geneA20292	geneB12251	
A	B	transcriptA74373		absent_transcript	0	geneA29403	geneB13802	
A	B	transcriptA116984		absent_gene	0	geneA20282		
A	B	transcriptA88332		absent_transcript	0	geneA20297	geneB12272	
A	B	transcriptA40364		absent_transcript	0	geneA20297	geneB12272	
A	B	transcriptA127232		absent_transcript	0	geneA20297	geneB12272	
A	B	transcriptA74094		absent_transcript	0	geneA20297	geneB12272	
A	B	transcriptA68356		gene_fusion	0	geneA20676	geneB12584;geneB12583	
A	B	transcriptA114634		gene_fusion	0	geneA20676	geneB12584;geneB12583	
A	B	transcriptA121886		gene_fusion	0	geneA20676	geneB12584;geneB12583	
A	B	transcriptA130975		gene_fusion	0	geneA20676	geneB12584;geneB12583	
A	B	transcriptA15794		gene_fusion	0	geneA20676	geneB12584;geneB12583	
A	B	transcriptA22405		gene_fusion	0	geneA20676	geneB12584;geneB12583	
A	B	transcriptA52839		gene_fusion	0	geneA20676	geneB12584;geneB12583	
A	B	transcriptA99934		gene_fusion	0	geneA20676	geneB12584;geneB12583	
A	B	transcriptA10127		gene_fusion	0	geneA20676	geneB12584;geneB12583	
A	B	transcriptA122867		gene_fusion	0	geneA20676	geneB12584;geneB12583	
A	B	transcriptA12911		gene_fusion	0	geneA20676	geneB12584;geneB12583	
A	B	transcriptA47734		gene_fusion	0	geneA20676	geneB12584;geneB12583	
A	B	transcriptA94296		gene_fusion	0	geneA20676	geneB12584;geneB12583	
A	B	transcriptA29625		gene_fusion	0	geneA20676	geneB12584;geneB12583	
A	B	transcriptA40327		gene_fusion	0	geneA20676	geneB12584;geneB12583	
A	B	transcriptA31735		gene_fusion	0	geneA20676	geneB12584;geneB12583	
A	B	transcriptA11760		absent_transcript	0	geneA20676	geneB12584	
A	B	transcriptA24361		absent_transcript	0	geneA20676	geneB12584	
A	B	transcriptA86416		absent_transcript	0	geneA20676	geneB12584	
A	B	transcriptA128670		gene_fusion	0	geneA20676	geneB12584;geneB12583	
A	B	transcriptA107885		gene_fusion	0	geneA20676	geneB12584;geneB12583	
A	B	transcriptA67072		gene_fusion	0	geneA20676	geneB12584;geneB12583	
A	B	transcriptA87993		gene_fusion	0	geneA20676	geneB12584;geneB12583	
A	B	transcriptA69260		gene_fusion	0	geneA20676	geneB12584;geneB12583	
A	B	transcriptA89414		gene_fusion	0	geneA20676	geneB12584;geneB12583	
A	B	transcriptA102885		gene_fusion	0	geneA20676	geneB12584;geneB12583	
A	B	transcriptA62780		gene_fusion	0	geneA20676	geneB12584;geneB12583	
A	B	transcriptA14089		gene_fusion	0	geneA20676	geneB12584;geneB12583	
A	B	transcriptA87244		gene_fusion	0	geneA20676	geneB12584;geneB12583	
A	B	transcriptA37445		absent_transcript	0	geneA20676	geneB12583	
A	B	transcriptA92985		absent_transcript	0	geneA20676	geneB12583	
A	B	transcriptA111724		absent_transcript	0	geneA26673	geneB34605	
A	B	transcriptA95402	transcriptB33275	unique_transcript	0	transcriptA95402	geneB33275	
A	B	transcriptA89267		absent_transcript	0	geneA25622	geneB33667	
A	B	transcriptA29207		absent_transcript	0	geneA25622	geneB33667	
A	B	transcriptA23854		absent_transcript	0	geneA25622	geneB33667	
A	B	transcriptA124796		absent_transcript	0	geneA25622	geneB33667	
A	B	transcriptA39750		absent_transcript	0	geneA25622	geneB33667	
A	B	transcriptA80104		absent_transcript	0	geneA25622	geneB33667	
A	B	transcriptA110365		absent_transcript	0	geneA25622	geneB33667	
A	B	transcriptA44626		absent_transcript	0	geneA25622	geneB33667	
A	B	transcriptA5975	transcriptB25963	unique_transcript	0	geneA30972	geneB25963	
A	B	transcriptA100848	transcriptB27104	unique_transcript	0	geneA32231	geneB27104	
A	B	transcriptA13117	transcriptB27104	unique_transcript	0	geneA32231	geneB27104	
A	B	transcriptA63360	transcriptB27104	unique_transcript	0	geneA32231	geneB27104	
A	B	transcriptA55666		absent_transcript	0	geneA32231	geneB27104	
A	B	transcriptA5396		absent_transcript	0	geneA32231	geneB27104	
A	B	transcriptA122304		absent_transcript	0	geneA32231	geneB27104	
A	B	transcriptA38435	transcriptB27104	unique_transcript	0	geneA32231	geneB27104	
A	B	transcriptA96038	transcriptB27104	unique_transcript	0	geneA32231	geneB27104	
A	B	transcriptA49997	transcriptB27104	unique_transcript	0	geneA32231	geneB27104	
A	B	transcriptA3945		gene_fusion	0	geneA35467	geneB6336;geneB6337	
A	B	transcriptA119851		gene_fusion	0	geneA35467	geneB6336;geneB6337	
A	B	transcriptA66850		absent_transcript	0	geneA37836	geneB9181	
A	B	transcriptA42989		absent_transcript	0	geneA37836	geneB9181	
A	B	transcriptA19780		absent_transcript	0	geneA39694	geneB10836	
A	B	transcriptA39001		absent_transcript	0	geneA39694	geneB10836	
A	B	transcriptA115649		absent_transcript	0	geneA39694	geneB10836	
A	B	transcriptA10934		absent_transcript	0	geneA39694	geneB10836	
A	B	transcriptA76633		absent_transcript	0	geneA39694	geneB10836	
A	B	transcriptA119635		absent_transcript	0	geneA39694	geneB10836	
A	B	transcriptA110909		absent_transcript	0	geneA39694	geneB10836	
A	B	transcriptA110920		absent_transcript	0	geneA39694	geneB10836	
A	B	transcriptA131496		absent_transcript	0	geneA39694	geneB10836	
A	B	transcriptA8945		absent_transcript	0	geneA39694	geneB10836	
A	B	transcriptA67216		absent_transcript	0	geneA39694	geneB10836	
A	B	transcriptA68263		absent_transcript	0	geneA39694	geneB10836	
A	B	transcriptA56598		absent_transcript	0	geneA39694	geneB10836	
A	B	transcriptA78532		absent_transcript	0	geneA39694	geneB10836	
A	B	transcriptA132727		absent_transcript	0	transcriptA132727	geneB10836	
A	B	transcriptA14826		absent_transcript	0	geneA39697	geneB10836	
A	B	transcriptA125763		absent_transcript	0	geneA39697	geneB10836	
A	B	transcriptA94721		absent_transcript	0	geneA39697	geneB10836	
A	B	transcriptA67772		absent_transcript	0	geneA39697	geneB10836	
A	B	transcriptA129999		absent_transcript	0	geneA39697	geneB10836	
A	B	transcriptA14534		absent_transcript	0	geneA39697	geneB10836	
A	B	transcriptA115025	transcriptB37956	unique_transcript	0	geneA41459	geneB37956	
A	B	transcriptA28132		absent_transcript	0	geneA41459	geneB37956	
A	B	transcriptA69627		absent_transcript	0	geneA42124	geneB38638	
A	B	transcriptA117744		absent_transcript	0	geneA42124	geneB38638	
